La Nature|Légumes Et Plantes|Pois Chiches|Seze (Av), Aussi Sese, Sege, Cese (A), Ceze (P)(Av), Cese (Av)(X), Pounchut (A), Becuts (A)
La Nature|Légumes Et Plantes|Pois Des Champs|Menuviho (X)
La Nature|Légumes Et Plantes|Pois Goulus, Gourmands|Peses Groumands (Av)(A)
La Nature|Légumes Et Plantes|Pois Nains|Merevilhoun Que L'On Donne à Manger Aux Pigeons (A)
La Nature|Légumes Et Plantes|Poivron|Pebroun
La Nature|Légumes Et Plantes|Pommes De Terre|Patano, Tartiflo (Trufo (Eg)(Av)), Patato, Tartifle (A)(Av)(X), Truffo (Av), Poumo De Terro (X), Tartifle, Tartiflo (X)
La Nature|Légumes Et Plantes|Potiron|Pissocan (A)(P), Coucourdo Verdo (X), Moussard (X), Redoundo (X)
La Nature|Légumes Et Plantes|Radis|Rifouar, Arifouert, Rifouert (A), Rabe (X)
La Nature|Légumes Et Plantes|Rave|Rabo (Pour La Soupe)(P)(Av), Raben, Rabo Cau Chou Rave (X)
La Nature|Légumes Et Plantes|Romarin|Roumanieou (A), Roumaniou (P)(Av), Roumanin (Av)(X), Roumaniéu (X)
La Nature|Légumes Et Plantes|Rubarbe|Rubarbo (A), Rebarbo (X)
La Nature|Légumes Et Plantes|Salade Frisée Et Scarole|Salado Frisado Et Scarolo Escarolo (X)
La Nature|Légumes Et Plantes|Sarriette|Pebre D'Ai (Av), Pebre D'Ay (A)(P), Pebre D'Ase (X), Sadrèlo (X)
La Nature|Légumes Et Plantes|Sauge|Saouvi (Av), Sauvi (A)(P), Savi (Av), Sàuvi (X), Erbo De Vène Mequerre (Sauge Verveine)(X)
La Nature|Légumes Et Plantes|Scarole|Barraqueto (X)
La Nature|Légumes Et Plantes|Sel Et Poivre|Saou E Lou Pebre (A)
La Nature|Légumes Et Plantes|Serpolet|Serpouyer Aussi Serpoulo, Sarpoulo (A), Sarpoule (P), Serpoule (P), Faligoulo (Av), Sarpoulet (A), Badassoun (X), Menudet, Serpoul, Serpoulet, Veiramo (X)
La Nature|Légumes Et Plantes|Thym|Feriglo, Farigoulo, Farigouletto, Ferigouleto (Eg), Faligoulo (A)(Av), Ferigoulo (X)
La Nature|Légumes Et Plantes|Tomates|Poumo D'Amour (Av)(X), Toumato (Av), Toumàti (X)
La Nature|Légumes Et Plantes|Topinambour|Tartiflo (Eg), Gigando (Av), Tartifle (Av), Giganto (X), Ginjourlié De Terro (X), Patanoun (X), Patato, Toupinambour (X)
La Nature|Légumes Et Plantes|Vesce De Narbonne|Favo Fèro (X)
La Nature|Salades Des Champs|Salades Sauvages|Ensalado Fèro (N Nicole), Xavier De Fourvières (X), Salado Champanello (04), Salado Champetro, Salado Fero (13)(Av)
La Nature|Salades Des Champs|Salade 1|Saladito
La Nature|Salades Des Champs|Salade 2|Repounche
La Nature|Salades Des Champs|Salade 3|Pissaliech
La Nature|Salades Des Champs|Salade 4|Pinprenelle
La Nature|Salades Des Champs|Salade 5|Petarel
La Nature|Salades Des Champs|Salade 6|Pata De Galina (N)
La Nature|Salades Des Champs|Salade 7|Parpela D'Agaço
La Nature|Salades Des Champs|Salade 8|Moure De Pouar
La Nature|Salades Des Champs|Salade 9|Moougié
La Nature|Salades Des Champs|Ail Des Vignes|Aiasso (X), Porre Couguiéu, Fèr (X)
La Nature|Salades Des Champs|Pourpier|Bourtouraigo (Mangé En Salade)(Eg), Bourtoulaigo (A)(X), Potion Vermifuge Bourthoulaigro, Bourtoulaigro (Av)
La Nature|Salades Des Champs|Ail De Montagne|Ailhet Fer (Eg), Aiet Fer (Mistral), Aiastre Ail Sauvage (X), Aietoun Bastard Ail Des Ours (X)
La Nature|Salades Des Champs|Ail Et L'Oignon Sauvage|Sebeilloun, Sabouilhoun, Sebouilhoun (A), Sabouillon (P), Sebeihoun (Av), Oignon Sauvage, Très Petit Cebihoun (X)
La Nature|Salades Des Champs|Asperges Sauvages|Aspergé, Ramo à Couniéu (D), Ramo Couniou (Eg)(Av), Ramo Counieou, Roumanieou Counieou (A), Ramocouniou (P), Damo Deis Tinos (P), Aussi Roumaniou Couniou (P), Gaveou De Tino (Av), Espargasso, Roumaniéu Couniéu (X), Pèd De Róumi (X), Bout, Turion D'Asperge Sauvage Peteli, Beteli (X), Tantaravèu, Roumanin Counièu (X)
La Nature|Salades Des Champs|Boursette|Mousselet De Vigno (Av), Plante Au Milieu Des Vignes Au Début Du Printemps, Bonne Pour L'Hémorragie (Av)
La Nature|Salades Des Champs|Cardelle|Cardelle
La Nature|Salades Des Champs|Concombre Sauvage|Coucoumasso, Plante, (Eg)(P)(A), Coucouroumasso (P)(Av)(A), Cougoumas (X)
La Nature|Salades Des Champs|Cousteline|Cousteline
La Nature|Salades Des Champs|Cresson|Passerage Sorte De Cresson (A), Granitort (X)
La Nature|Salades Des Champs|Cresson Sauvage, Ibéride Pinnatifède|Bramo Fan (Eg)(P)(Av)(A), Blanchoun (X), Ègo (X), Ibéride Pinnée Linçoulado (X)
La Nature|Salades Des Champs|Cressonnette|Cressonnette
La Nature|Salades Des Champs|Doucette, Mâche|Douceto (P), Doucetto (Av)(A), Salade De Printemps Et D'Hiver, Mousselets (Av)(X), Doucetto (Eg)(Mâche Dentelée, Une Des Valérianes), Douceto (A), Valerianella Engrouleto (X), Lacheto (X), Pan Dóu Bon Diéu (X)
La Nature|Salades Des Champs|Echalotte|Racambolo (Racambole D'Espagne)(A)
La Nature|Salades Des Champs|Faux Raifort|Rafanage (X)
La Nature|Salades Des Champs|Lachalèbre|Lachalèbre
La Nature|Salades Des Champs|Laitue Sauvage|Lachugo Fero (Eg), Barraqueto, Escarolo (X)
La Nature|Salades Des Champs|Mâche|Lachugueto (X), Pan Froument (X), Raspello
La Nature|Salades Des Champs|Mâche Dentée, Ampoulette|Ampouleto (X)
La Nature|Salades Des Champs|Mâche, Doucette, Poule Grasse, Valérianelle,|Mousselet (Av), Moucelets (Av), Nom Générique Pour Les Salades Sauvages
La Nature|Salades Des Champs|Maugier|Maugier
La Nature|Salades Des Champs|Mesclun|Salade Champêtre (X), Champanello (X)
La Nature|Salades Des Champs|Moucelets, Bourcette|Plante Au Goût Piquant Comme La Roquette (Eg), Moucelet De Vigno (Av)
La Nature|Salades Des Champs|Moutarde Sauvage, Radis|Ravanello, Ravaniscle, Rousello (X)
La Nature|Salades Des Champs|Pâquerette|Margarideto (X), Pamparineto (X), Pascaleto (X)
La Nature|Salades Des Champs|Pissenlits|Pissaoulié, Pisso Oou Liech (A)(Av), Pisso Au Liech (P), Pisso Chin (Av), Dent De Lien (A), Fuiaraco (X), Mourre (X), Peto Lagagno (X)
La Nature|Salades Des Champs|Poireau Sauvage|Pouerri Fer (A)(Av), Pouerri Couguou (Av), Pourrachoun (X), Pourrato (X)
La Nature|Salades Des Champs|Radis Des Champs, Raimponce|Rampucho, Rampoucho(P), Raiponse, Raifort Sauvage (A), Rampouchou (Av)(A), Rapounchoun (X)
La Nature|Salades Des Champs|Radis Sauvage|Roussergue (X)
La Nature|Salades Des Champs|Raifort, Rave Des Jardins|Rifouert, La Racine Est Diurétique (A), Reifouer (P), Rainfouer, Rifouer (Av), Rifouar (Av)(Radis ?), Rais Fort (X), Ravanas (X), Ravanet (X)
La Nature|Salades Des Champs|Roquette|Rouquetto (A)(Av), Rouqueto (P)(X), Rouquèto Fero Erucague (A), Erugo (X), Navelas Moutarde Fausse Roquette (X), Pito Galino Fausse Roquette (X), Planto Blanco (X), Rabo Cau (X)
La Nature|Salades Des Champs|Salsifi|Salsifi (Av), Cercifi (A), Sarsifi (X)
La Nature|Salades Des Champs|Salsifi Des Prés|Barbabou (X), Bouchino (X)
La Nature|Salades Des Champs|Terre Crépie, Petit Laiteron|Couesto Counhièro, En Salade Au Printemps (Av)
